string,log_prob,count
"fand(fnot(istexture(obj_1(d),fdots())),True)",-9.821843563495618,10
"fand(istexture(obj_1(d),fcheckered()),fnot(True))",-9.821843563495618,10
"fand(isshape(obj_2(d),fdiamond()),fnot(True))",-9.821843563495618,10
"fand(sametexture(d),fnot(istexture(obj_1(d),fplain())))",-9.821843563495618,10
"fnot(fand(istexture(obj_1(d),fcheckered()),True))",-9.821843563495618,10
"fand(True,fnot(isshape(obj_2(d),fdiamond())))",-9.821843563495618,10
"fnot(fand(istexture(obj_1(d),fplain()),True))",-9.821843563495618,10
"fand(True,fnot(isshape(obj_2(d),fsquare())))",-9.821843563495618,10
"fand(fnot(isshape(obj_1(d),fcircle())),True)",-9.821843563495618,10
"fand(sameshape(d),fand(True,sameshape(d)))",-10.227308671603781,10
"fand(fand(sameshape(d),sameshape(d)),True)",-10.227308671603781,10
"fnot(fand(fnot(fnot(True)),True))",-10.514990744055563,10
"fand(fand(True,fnot(True)),True)",-11.613603032723672,10
"fand(fand(True,True),fnot(True))",-11.613603032723672,10
"fand(fnot(fnot(sameshape(d))),sameshape(d))",-9.128696382935672,9
fnot(fnot(fnot(fnot(fnot(sameshape(d)))))),-9.416378455387452,9
"fnot(fand(isshape(obj_1(d),fsquare()),True))",-9.821843563495618,9
"fand(isshape(obj_2(d),fdiamond()),fnot(sameshape(d)))",-9.821843563495618,9
"fand(sameshape(d),fnot(isshape(obj_2(d),ftriangle())))",-9.821843563495618,9
"fand(fnot(sametexture(d)),isshape(obj_2(d),ftriangle()))",-9.821843563495618,9
"fand(True,fnot(isshape(obj_1(d),ftriangle())))",-9.821843563495618,9
"fnot(fand(True,istexture(obj_1(d),fstripes())))",-9.821843563495618,9
"fand(fnot(True),istexture(obj_2(d),fcheckered()))",-9.821843563495618,9
"fnot(fand(isshape(obj_2(d),ftriangle()),sametexture(d)))",-9.821843563495618,9
"fand(fnot(True),istexture(obj_1(d),fplain()))",-9.821843563495618,9
"fand(fnot(sameshape(d)),istexture(obj_2(d),fdots()))",-9.821843563495618,9
"fand(fnot(isshape(obj_2(d),ftriangle())),sametexture(d))",-9.821843563495618,9
"fand(fnot(True),istexture(obj_2(d),fdots()))",-9.821843563495618,9
"fand(fnot(sametexture(d)),isshape(obj_1(d),fsquare()))",-9.821843563495618,9
"fand(True,fnot(isshape(obj_1(d),fsquare())))",-9.821843563495618,9
"fand(fnot(isshape(obj_2(d),fsquare())),sameshape(d))",-9.821843563495618,9
"fand(fnot(True),istexture(obj_1(d),fstripes()))",-9.821843563495618,9
